,parameter,value,se_sa,rse_sa,param_name,cz
1,thV1_pop,3.11227045101733,0.409400580746214,13.1544024592204,RNA<1(1),tab:purple
2,thV2_pop,0.24999996934984,0.0504697393352865,20.1878982091639,RNA<1(2),tab:purple
1,thV1_pop,0.0031077409120715,0.0047676711966074,153.412762887924,RNA>1,tab:purple
1,thV1_pop,0.260999341935746,0.0469170002559401,17.9759074900236,Intact<1,tab:orange
1,thV1_pop,0.0808039502654699,0.0241937198712711,29.9412588020587,Defective<1,tab:blue
1,thV1_pop,0.0309831320846759,0.0178476316837244,57.6043494729564,Intact>1,tab:orange
1,thV1_pop,-0.0068174148541654,0.0030597662071078,44.8816196837187,Defective>1,tab:blue
1,thV1_pop,-0.0462518442530338,0.0068576165473407,14.8266877961108,CD4<1,tab:green
1,thV1_pop,0.007476852928719,0.0011030959044282,14.7534787021316,CD4>1,tab:green
