,bS,dA,phi,dL,A0
0,0.9995808887044546,0.23564017606427537,0.0001,0.013120502006949858,508.39914854760707
1,0.9987267702146942,0.2376702438314096,0.0001,-0.00855951839642062,185.38660974926125
2,0.71017997868516,0.9340688609873348,0.0001,0.000117424143768434,10.492694509202671
3,4.153718091969979,1.0952368271739883,0.0003813608763304379,-0.0015356714298849136,3.2706764715985623
4,0.9999991050650308,0.2067171792815048,0.000999999076093255,0.011367475940368688,24.26293499868615
5,1.187612650920203,0.15514476996693996,0.00999999790345948,0.03771142944864676,261.7292912828979
6,0.7138834726158095,0.6514224272931711,0.0004972614882744402,0.013170636856199508,2322.2957175216397
7,0.9774462280213048,0.2321053968883358,0.00012656978719562085,0.002240522761562044,105.0644774357127
8,0.1,2.237430044834993,0.0001,0.0015090075063049298,176.02948455340518
9,0.7566994567297948,0.7447307889027975,0.0007566994567334818,0.005705407743897023,100.60152111237531
10,1.9233835784533015,0.4162122844642802,0.0001,0.007804188960673444,141.04460863399893
11,1.000000051883887,0.23395524101080442,0.0009996413556038657,0.010786904593373673,0.948982400392172
12,0.9500056255714461,0.3038812938122635,0.00012560664350018546,0.017395300216489714,259.71766128419307
13,0.7744437919467315,0.6600336105726397,0.0001,0.04161891968323178,293.2152067627173
14,0.9751678587331173,0.27090672077356226,0.00013234377394352138,-0.006902559814144504,65.66827334607473
15,0.946988890177524,0.3565103006815829,0.0010345564727749583,0.05612865824720485,118.36423468086252
16,10.0,0.30593228771340825,0.0004525059581552031,-0.011834254497231043,1290.3690011863578
17,0.9999987520505755,0.20846072443419705,0.0009999020099750796,0.013819101523042068,0.37186618215400324
18,1.7043609048598103,0.3877352844714791,0.00010000246856427887,0.08976276636116431,2.6684151856502365
19,1.0001749943608376,0.20166592991344282,0.0001918197369595623,0.011572975795712597,183.942991077588
20,1.0045911785086907,0.2223951631846679,0.01,0.03098607819534088,61.78141760718412
21,0.9981814487050777,0.13126775872345506,0.0028773483508469843,0.029324600399709647,466.4359140350535
